"area"	"key"	"local"
"1"	"AL"	"1"	"agricultural and industrial water supply"
"2"	"AL"	"5"	"claiborne lake (alabama river basin)"
"3"	"AL"	"6"	"dannelly lake (alabama river basin)"
"4"	"AL"	"7"	"lake purdy (cahaba river basin)"
"5"	"AL"	"9"	"lake harding (chattahoochee river basin)"
"6"	"AL"	"10"	"walter f. george lake (chattahoochee river basin)"
"7"	"AL"	"12"	"west point lake (chattahoochee river basin)"
"8"	"AL"	"13"	"jordan lake (coosa river basin)"
"9"	"AL"	"14"	"lay lake (coosa river basin)"
"10"	"AL"	"16"	"logan martin lake (coosa river basin)"
"11"	"AL"	"18"	"mitchell lake (coosa river basin)"
"12"	"AL"	"20"	"neely henry lake (coosa river basin)"
"13"	"AL"	"22"	"weiss lake (coosa river basin)"
"14"	"AL"	"24"	"big creek lake (escatawpa river basin)"
"15"	"AL"	"25"	"fish and wildlife"
"16"	"AL"	"32"	"incidental water contact and recreation"
"17"	"AL"	"33"	"limited warmwater fishery"
"18"	"AL"	"36"	"coffeeville lake (lower tombigbee river basin)"
"19"	"AL"	"37"	"outstanding alabama water"
"20"	"AL"	"44"	"gantt lake (perdido/escambia river basin)"
"21"	"AL"	"45"	"lake frank jackson (perdido/escambia river basin)"
"22"	"AL"	"46"	"lake jackson (perdido/escambia river basin)"
"23"	"AL"	"47"	"point a lake (perdido/escambia river basin)"
"24"	"AL"	"48"	"public water supply"
"25"	"AL"	"56"	"shellfish harvesting"
"26"	"AL"	"63"	"swimming and other whole body water-contact sports"
"27"	"AL"	"70"	"lake martin (tallapoosa river basin)"
"28"	"AL"	"73"	"r.l. harris lake (tallapoosa river basin)"
"29"	"AL"	"75"	"thurlow lake (tallapoosa river basin)"
"30"	"AL"	"76"	"yates lake (tallapoosa river basin)"
"31"	"AL"	"77"	"bear creek lake (tennessee river basin)"
"32"	"AL"	"78"	"cedar creek lake (tennessee river basin)"
"33"	"AL"	"79"	"guntersville lake (tennessee river basin)"
"34"	"AL"	"80"	"little bear creek lake (tennessee river basin)"
"35"	"AL"	"81"	"pickwick lake (tennessee river basin)"
"36"	"AL"	"82"	"upper bear creek lake (tennessee river basin)"
"37"	"AL"	"83"	"wheeler lake (tennessee river basin)"
"38"	"AL"	"84"	"wilson lake (tennessee river basin)"
"39"	"AL"	"85"	"aliceville lake (upper tombigbee river basin)"
"40"	"AL"	"86"	"demopolis lake (upper tombigbee river basin)"
"41"	"AL"	"87"	"gainesville lake (upper tombigbee river basin)"
"42"	"AL"	"88"	"bankhead lake (warrior river basin)"
"43"	"AL"	"89"	"holt lake (warrior river basin)"
"44"	"AL"	"90"	"inland lake (warrior river basin)"
"45"	"AL"	"91"	"lake tuscaloosa (warrior river basin)"
"46"	"AL"	"92"	"oliver lake (warrior river basin)"
"47"	"AL"	"93"	"smith lake (warrior river basin)"
"48"	"AL"	"96"	"warrior lake (warrior river basin)"
"49"	"AL"	"3904"	"toxic pollutant criteria - state waters"
"50"	"AK"	"105"	"contact recreation"
"51"	"AK"	"108"	"drinking water MCL {water supply (drinking, culinary and food processing); contact recreation}"
"52"	"AK"	"112"	"gold creek"
"53"	"AK"	"113"	"growth and propagation of fish, shellfish, other aquatic life, and wildlife"
"54"	"AK"	"115"	"harvesting for consumption of raw mollusks or other raw aquatic life"
"55"	"AK"	"117"	"irrigation water {water supply (agriculture, including irrigation and stock watering)}"
"56"	"AK"	"120"	"secondary recreation"
"57"	"AK"	"123"	"camp creek"
"58"	"AK"	"124"	"red dog creek"
"59"	"AK"	"125"	"sherman creek"
"60"	"AK"	"126"	"stockwater {water supply (agriculture, including irrigation and stock watering)}"
"61"	"AK"	"127"	"water supply (agriculture, including irrigation and stock watering)"
"62"	"AK"	"128"	"water supply (aquaculture)"
"63"	"AK"	"129"	"water supply (drinking, culinary and food processing)"
"64"	"AK"	"130"	"water supply (industrial)"
"65"	"AK"	"131"	"water supply (seafood processing)"
"66"	"AK"	"3901"	"aquatic life criteria for fresh waters {water supply (aquaculture); growth and propagation of fish, shellfish, other aquatic life, and wildlife}"
"67"	"AK"	"3902"	"aquatic life criteria for marine waters {water supply (aquaculture); water supply (seafood processing); growth and propagation of fish, shellfish, other aquatic life, and wildlife}"
"68"	"AK"	"3903"	"human health criteria for non-carcinogens {drinking, culinary, and food processing; growth and propagation of fish, shellfish, other aquatic life, and wildlife}"
"69"	"AK"	"5094"	"water supply (aquaculture); migration routes"
"70"	"AK"	"5095"	"water supply (aquaculture); spawning areas"
"71"	"AK"	"5096"	"water supply (aquaculture); rearing areas"
"72"	"AK"	"5097"	"water supply (aquaculture); egg & fry incubation"
"73"	"AK"	"5098"	"growth and propagation of fish, shellfish, other aquatic life, and wildlife; migration routes"
"74"	"AK"	"5099"	"growth and propagation of fish, shellfish, other aquatic life, and wildlife; spawning areas"
"75"	"AK"	"5100"	"growth and propagation of fish, shellfish, other aquatic life, and wildlife; rearing areas"
"76"	"AK"	"5101"	"growth and propagation of fish, shellfish, other aquatic life, and wildlife; egg & fry incubation"
"77"	"AK"	"5102"	"cook inlet"
"78"	"AZ"	"132"	"Agricultural Irrigation (AgI)"
